NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
100,0,0,0,100,1.0,1.0,1.0,0.995,0.9950121896611772,0.995012189661177,5,san
0,99,1,0,100,1.0,0.99,0.9949748743718592,0.995,0.9950121896611772,0.995012189661177,5,san
0,0,100,0,100,0.9803921568627452,1.0,0.99009900990099,0.995,0.9950121896611772,0.995012189661177,5,san
0,0,1,99,100,1.0,0.99,0.9949748743718592,0.995,0.9950121896611772,0.995012189661177,5,san
96,0,2,2,100,0.9504950495049505,0.96,0.9552238805970148,0.9775,0.9774973385245926,0.9774973385245924,5,biot
4,96,0,0,100,1.0,0.96,0.979591836734694,0.9775,0.9774973385245926,0.9774973385245924,5,biot
0,0,100,0,100,0.9803921568627452,1.0,0.99009900990099,0.9775,0.9774973385245926,0.9774973385245924,5,biot
1,0,0,99,100,0.9801980198019802,0.99,0.9850746268656716,0.9775,0.9774973385245926,0.9774973385245924,5,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,glass_maj
