NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
0,0,100,0,100,0.8695652173913043,1.0,0.9302325581395348,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,cpx
0,0,5,95,100,0.931372549019608,0.95,0.9405940594059404,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,cpx
92,0,1,7,100,1.0,0.92,0.9583333333333334,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,glass_maj
0,91,9,0,100,1.0,0.91,0.9528795811518324,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,glass_maj
0,0,100,0,100,0.8695652173913043,1.0,0.9302325581395348,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,glass_maj
0,0,5,95,100,0.931372549019608,0.95,0.9405940594059404,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,glass_maj
86,1,10,3,100,0.9772727272727272,0.86,0.9148936170212766,0.8925,0.8953635291614837,0.8953635291614837,3,glass_tr
0,84,15,1,100,0.9882352941176472,0.84,0.9081081081081082,0.8925,0.8953635291614837,0.8953635291614837,3,glass_tr
0,0,100,0,100,0.7352941176470589,1.0,0.8474576271186441,0.8925,0.8953635291614837,0.8953635291614837,3,glass_tr
2,0,11,87,100,0.956043956043956,0.87,0.9109947643979056,0.8925,0.8953635291614837,0.8953635291614837,3,glass_tr
92,0,1,7,100,1.0,0.92,0.9583333333333334,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,horn
0,91,9,0,100,1.0,0.91,0.9528795811518324,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,horn
0,0,100,0,100,0.8695652173913043,1.0,0.9302325581395348,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,horn
0,0,5,95,100,0.931372549019608,0.95,0.9405940594059404,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,horn
99,0,0,1,100,0.7615384615384615,0.99,0.8608695652173913,0.9075,0.9097256461975198,0.9097256461975198,4,no_drop
8,92,0,0,100,1.0,0.92,0.9583333333333334,0.9075,0.9097256461975198,0.9097256461975198,4,no_drop
11,0,89,0,100,0.946808510638298,0.89,0.9175257731958764,0.9075,0.9097256461975198,0.9097256461975198,4,no_drop
12,0,5,83,100,0.988095238095238,0.83,0.9021739130434784,0.9075,0.9097256461975198,0.9097256461975198,4,no_drop
96,1,1,2,100,0.897196261682243,0.96,0.927536231884058,0.9425,0.942721592200539,0.942721592200539,4,plag
4,94,2,0,100,0.9894736842105264,0.94,0.964102564102564,0.9425,0.942721592200539,0.942721592200539,4,plag
3,0,97,0,100,0.9150943396226416,0.97,0.941747572815534,0.9425,0.942721592200539,0.942721592200539,4,plag
4,0,6,90,100,0.9782608695652174,0.9,0.9375,0.9425,0.942721592200539,0.942721592200539,4,plag
76,1,7,16,100,0.6229508196721312,0.76,0.6846846846846847,0.7575000000000001,0.7605219642081198,0.7605219642081198,4,san
18,72,10,0,100,0.9863013698630136,0.72,0.8323699421965317,0.7575000000000001,0.7605219642081198,0.7605219642081198,4,san
12,0,88,0,100,0.7213114754098361,0.88,0.7927927927927928,0.7575000000000001,0.7605219642081198,0.7605219642081198,4,san
16,0,17,67,100,0.8072289156626506,0.67,0.7322404371584699,0.7575000000000001,0.7605219642081198,0.7605219642081198,4,san
96,1,1,2,100,0.897196261682243,0.96,0.927536231884058,0.9425,0.942721592200539,0.942721592200539,4,biot
4,94,2,0,100,0.9894736842105264,0.94,0.964102564102564,0.9425,0.942721592200539,0.942721592200539,4,biot
3,0,97,0,100,0.9150943396226416,0.97,0.941747572815534,0.9425,0.942721592200539,0.942721592200539,4,biot
4,0,6,90,100,0.9782608695652174,0.9,0.9375,0.9425,0.942721592200539,0.942721592200539,4,biot
